,deeplift,gradients,integrated_gradients,guided_gradcam,guided_backprop,inputxgradient,lime
features.0,0.0950777399539947,0.1522059484509769,0.1522059484509769,0.0800981497764588,0.1442698031663895,0.095077006816864,0.8513866233825683
features.1,0.153114708662033,0.1620208243335922,0.1620208243335922,0.0831558763980865,0.2168812161684036,0.1531132274866103,0.8113492922484875
features.2,0.5773501028120518,0.5161063449288459,0.5161063449288459,0.1305973216891288,0.6990227796882391,0.5773481260240079,0.8437976290285587
features.3,0.7198746341839433,0.4791113942478485,0.4791113942478485,0.1263503122329712,0.8297925097122788,0.7198727951571345,0.8650814422219992
features.4,0.7554994460381568,0.6636375578930571,0.6636375578930571,0.1726265062391757,0.8599833951983601,0.7554976383037866,0.8499149613827467
features.5,0.7886079482734203,0.6783098949974209,0.6783098949974209,0.1219151811301708,0.8790884620882571,0.7886046705022454,0.8393098337203264
features.6,0.843140652552247,0.761544871884215,0.761544871884215,0.207151660323143,0.9181238007498904,0.8431404161453246,0.8536696245521307
features.7,0.7974060902558266,0.6668617148829019,0.6668617148829019,0.3342904686927795,0.8861183157656342,0.7974007140658796,0.8345583841204643
features.8,0.9618109925254248,0.9190304477015718,0.9190304477015718,0.3652878396492451,0.9862142166448756,0.9618168789439367,0.862986755669117
features.9,0.979182935989229,0.957310841788224,0.957310841788224,0.5693956058844925,0.9935459357005312,0.9791832741105464,0.8265409559756518
features.10,0.9765801561751868,0.9570073021622528,0.9570073021622528,0.6399799656495452,0.9927021574976972,0.9766040908964352,0.8645623857155442
features.11,0.901198317199014,0.7726519269423205,0.7726519269423205,0.2622438626363873,0.9590011046733709,0.9012069578375668,0.8351413895189762
features.12,0.8992573133390397,0.83127055776541,0.83127055776541,0.1488849156722426,0.954771960322978,0.8994541987869888,0.8136010357178748
features.13,0.9430755508621224,0.8863727942256928,0.8863727942256928,0.1554255115240812,0.9779874471144284,0.943040146967396,0.8827306608855724
features.14,0.9569680370402056,0.9012538091070073,0.9012538091070073,0.4953245045244694,0.9855705892230616,0.9569774889119436,0.8422206059843302
features.15,0.969145870283246,0.930407673869489,0.930407673869489,0.4926447397470475,0.9902013986822568,0.9691397517849693,0.8765605343878269
features.16,0.97617332018679,0.935013159561592,0.935013159561592,0.6136602401733399,0.9928870320261922,0.9761547344061546,0.836009109094739
features.17,0.9781392929219872,0.9721714499445944,0.9721714499445944,0.7231927358778194,0.9925889370575895,0.9781099327199628,0.8032502857595682
features.18,0.153114708662033,0.1620208243335922,0.1620208243335922,0.0831558763980865,0.2168812161684036,0.1531132274866103,0.8113492922484875
